type,time,mins,percent,bp,bin
E19K/G52K,0,0,88.68,58-62,1
E19K/G52K,0,0,3.91,63-88,2
E19K/G52K,0,0,1.92,89-119,3
E19K/G52K,0,0,2.02,120-150,4
E19K/G52K,0,0,1.32,151-181,5
E19K/G52K,0,0,1.38,182-212,6
E19K/G52K,0,0,0.77,213-243,7
E19K/G52K,15,0.25,72.06,58-62,1
E19K/G52K,15,0.25,20.95,63-88,2
E19K/G52K,15,0.25,2.8,89-119,3
E19K/G52K,15,0.25,1.54,120-150,4
E19K/G52K,15,0.25,1.09,151-181,5
E19K/G52K,15,0.25,1.03,182-212,6
E19K/G52K,15,0.25,0.53,213-243,7
E19K/G52K,30,0.5,50.13,58-62,1
E19K/G52K,30,0.5,42.44,63-88,2
E19K/G52K,30,0.5,4.55,89-119,3
E19K/G52K,30,0.5,1.14,120-150,4
E19K/G52K,30,0.5,0.67,151-181,5
E19K/G52K,30,0.5,0.76,182-212,6
E19K/G52K,30,0.5,0.32,213-243,7
E19K/G52K,60,1,36.48,58-62,1
E19K/G52K,60,1,50.24,63-88,2
E19K/G52K,60,1,9.28,89-119,3
E19K/G52K,60,1,2.16,120-150,4
E19K/G52K,60,1,0.7,151-181,5
E19K/G52K,60,1,0.87,182-212,6
E19K/G52K,60,1,0.27,213-243,7
E19K/G52K,120,2,29.24,58-62,1
E19K/G52K,120,2,47.66,63-88,2
E19K/G52K,120,2,15.87,89-119,3
E19K/G52K,120,2,3.94,120-150,4
E19K/G52K,120,2,1.6,151-181,5
E19K/G52K,120,2,1.45,182-212,6
E19K/G52K,120,2,0.25,213-243,7
(+ Storage Buffer),0,0,0,58-62,1
(+ Storage Buffer),0,0,0,63-88,2
(+ Storage Buffer),0,0,0,89-119,3
(+ Storage Buffer),0,0,0,120-150,4
(+ Storage Buffer),0,0,0,151-181,5
(+ Storage Buffer),0,0,0,182-212,6
(+ Storage Buffer),0,0,0,213-243,7
(+ Storage Buffer),180,3,26.5,58-62,1
(+ Storage Buffer),180,3,44.3,63-88,2
(+ Storage Buffer),180,3,19.42,89-119,3
(+ Storage Buffer),180,3,5.37,120-150,4
(+ Storage Buffer),180,3,2.28,151-181,5
(+ Storage Buffer),180,3,1.64,182-212,6
(+ Storage Buffer),180,3,0.49,213-243,7
(+ Storage Buffer),420,7,17.16,58-62,1
(+ Storage Buffer),420,7,28.74,63-88,2
(+ Storage Buffer),420,7,28.05,89-119,3
(+ Storage Buffer),420,7,11.44,120-150,4
(+ Storage Buffer),420,7,6.19,151-181,5
(+ Storage Buffer),420,7,6,182-212,6
(+ Storage Buffer),420,7,2.41,213-243,7
(+ Storage Buffer),720,12,14.08,58-62,1
(+ Storage Buffer),720,12,23.15,63-88,2
(+ Storage Buffer),720,12,28.54,89-119,3
(+ Storage Buffer),720,12,12.43,120-150,4
(+ Storage Buffer),720,12,7.57,151-181,5
(+ Storage Buffer),720,12,8.93,182-212,6
(+ Storage Buffer),720,12,5.3,213-243,7
(+ Storage Buffer),960,16,0,58-62,1
(+ Storage Buffer),960,16,0,63-88,2
(+ Storage Buffer),960,16,0,89-119,3
(+ Storage Buffer),960,16,0,120-150,4
(+ Storage Buffer),960,16,0,151-181,5
(+ Storage Buffer),960,16,0,182-212,6
(+ Storage Buffer),960,16,0,213-243,7
(+ WT),0,0,0,58-62,1
(+ WT),0,0,0,63-88,2
(+ WT),0,0,0,89-119,3
(+ WT),0,0,0,120-150,4
(+ WT),0,0,0,151-181,5
(+ WT),0,0,0,182-212,6
(+ WT),0,0,0,213-243,7
(+ WT),180,3,24.21,58-62,1
(+ WT),180,3,41.83,63-88,2
(+ WT),180,3,21.92,89-119,3
(+ WT),180,3,6.49,120-150,4
(+ WT),180,3,2.84,151-181,5
(+ WT),180,3,2.1,182-212,6
(+ WT),180,3,0.6,213-243,7
(+ WT),420,7,17.46,58-62,1
(+ WT),420,7,29.47,63-88,2
(+ WT),420,7,28.2,89-119,3
(+ WT),420,7,11.25,120-150,4
(+ WT),420,7,5.81,151-181,5
(+ WT),420,7,5.24,182-212,6
(+ WT),420,7,2.57,213-243,7
(+ WT),720,12,15.49,58-62,1
(+ WT),720,12,26.26,63-88,2
(+ WT),720,12,29.18,89-119,3
(+ WT),720,12,12.02,120-150,4
(+ WT),720,12,6.21,151-181,5
(+ WT),720,12,6.66,182-212,6
(+ WT),720,12,4.19,213-243,7
(+ WT),960,16,0,58-62,1
(+ WT),960,16,0,63-88,2
(+ WT),960,16,0,89-119,3
(+ WT),960,16,0,120-150,4
(+ WT),960,16,0,151-181,5
(+ WT),960,16,0,182-212,6
(+ WT),960,16,0,213-243,7
(+ E19K/G52K),0,0,0,58-62,1
(+ E19K/G52K),0,0,0,63-88,2
(+ E19K/G52K),0,0,0,89-119,3
(+ E19K/G52K),0,0,0,120-150,4
(+ E19K/G52K),0,0,0,151-181,5
(+ E19K/G52K),0,0,0,182-212,6
(+ E19K/G52K),0,0,0,213-243,7
(+ E19K/G52K),180,3,24.28,58-62,1
(+ E19K/G52K),180,3,43.49,63-88,2
(+ E19K/G52K),180,3,21.22,89-119,3
(+ E19K/G52K),180,3,6.19,120-150,4
(+ E19K/G52K),180,3,2.41,151-181,5
(+ E19K/G52K),180,3,1.88,182-212,6
(+ E19K/G52K),180,3,0.55,213-243,7
(+ E19K/G52K),420,7,16.48,58-62,1
(+ E19K/G52K),420,7,32.25,63-88,2
(+ E19K/G52K),420,7,27.46,89-119,3
(+ E19K/G52K),420,7,11.32,120-150,4
(+ E19K/G52K),420,7,5.7,151-181,5
(+ E19K/G52K),420,7,4.92,182-212,6
(+ E19K/G52K),420,7,1.87,213-243,7
(+ E19K/G52K),720,12,13.66,58-62,1
(+ E19K/G52K),720,12,29.38,63-88,2
(+ E19K/G52K),720,12,27.96,89-119,3
(+ E19K/G52K),720,12,12.25,120-150,4
(+ E19K/G52K),720,12,6.76,151-181,5
(+ E19K/G52K),720,12,6.53,182-212,6
(+ E19K/G52K),720,12,3.47,213-243,7
(+ E19K/G52K),960,16,0,58-62,1
(+ E19K/G52K),960,16,0,63-88,2
(+ E19K/G52K),960,16,0,89-119,3
(+ E19K/G52K),960,16,0,120-150,4
(+ E19K/G52K),960,16,0,151-181,5
(+ E19K/G52K),960,16,0,182-212,6
(+ E19K/G52K),960,16,0,213-243,7
